"No","Name","Date","Comment","Star"
"63","Cellyn 14","06-08-2019","i like to shop with this app, but currently my app cant even running, then i uninstall and install back the app and thr result still the same, so please fix it. now my homepage cant loading anything, its blank and when i open my shopping basket, chat, feed, etc it cant loading and blank.","2"
"64","Melvin Ginting Mikha","06-08-2019","ok aja","5"
"65","heri gunawan","06-08-2019","Sukaaaa","4"
"66","All In Store","06-08-2019","Gila ini aplikasi keren banget guyysss","5"
"67","dnr chan","06-08-2019","KENAPA TOMBOL BAYAR SEKARANG DIKLIK TAPI KOSONG??????? 4 JAM GW TUNGGUIN KAGAK KELUAR ITU NOMER REKENING!!!! GW MAU BAYAR SEKARANG KARNA BURU2 MAU PAKE ITU BARANG KEBURU LAHIRAN!!!!! BAD AMAT SIH","1"
"68","F Gun","06-08-2019","I used to enjoy using Shopee...but after I installed the July updated app of Shopee (twice), in result, I could NOT pay with debit card coz it keeps loading with no result, while I could smoothly pay with the previous version...sad and confused with the update...what to do???","1"
"69","La Reine","06-08-2019","Setelah di perbarui, error.. Bener2 error... Suruh coba lagi dan coba lagi.. Padahal koneksinya kuat. Heran, udah di perbarui tapi makin kesini makin jelek aplikasinya, padahal dulu fine fine aja. Udah mana sering update tapi bukannya makin bagus malah makin jelek.","2"
"70","Rizky Kestian","06-08-2019","pengalaman tdk menyenankan dgn shopeepay","1"
"71","Budi Astuti","06-08-2019","love this app so much","5"
"72","magie owen","06-08-2019","masalah ga lgsg ditangani lwt chat shopee...beribet harus pindah ke email","3"
"73","Sheed Bientang","06-08-2019","UPDATE SHOPEE malah makin lemoooooot!! walau sinyal bagus. apalagi sinyalnya buruk!!? mau transaksi atau order malah susaaaaah bin lemooooooot!! semua kategori menu tidak bisa dibuka!! MINTA MUAT ULANG TERUS!! akhirnya terpaksa ordernya jadi ke lapak sebelah!! BAGAIMANA INI SHOPEE?? NIAT GAK SIH JAD...Full Review","1"
"74","Dani Hamdani","06-08-2019","Banyak bug , customer service terburuk daripada yang lain . Bila ada trouble sangat lama penyelesaiannya , mengecewakan dan membuat kapok belanja di shopee .","1"
"75","Yeni Widiyawati","06-08-2019","kenapa ye jadi lemot bgt setelah diupdate. padahal jaringan full 4G, tp buat search barang susah. apa tergantung amal dan perbuatan? wkwkkw. lama2 males pakenya.","2"
"76","Kellan Ardell","06-08-2019","bagus kalau belanja disini","5"
"77","Emmols Group Coconut","06-08-2019","kereen buangetlaahhh","5"
"78","Grab Driver Tidak Aktif","06-08-2019","Ada penjual yg sebelum dibeli mengatakan barang dg warna tertentu ada. Tp sa'at sdh dibeli & ditransfer, & sedang menunggu pengiriman, ternyata warna yg diminta tdk ada & ditawarkan warna lain. Hal ini sgt merugikan calon pembeli. Kenapa tidak bilang sejak awal bila tidak ada.","4"
"79","Ardi P.Murniadi","06-08-2019","kemarin2 gambar yg ga muncul sekarang fitur search nya yg gabisa 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️","1"
"80","Andreas Natawijaya","06-08-2019","lemot","3"
"81","Neng Aya","06-08-2019","setelah update malah crash terus. jadi gak bisa belanja. gimana ini solusinya?","1"
"82","Anin Pranita","06-08-2019","super duper lelet pdhl sinyal super strong","1"
"83","Bee Olshop","06-08-2019","buka pusat bantuan ngak pernah bisa","1"
"84","Ristonilassius Dabalok","06-08-2019","Mantaap","5"
"85","Chasbullah Huda","06-08-2019","good","5"
"86","Eliezer Milka","06-08-2019","Sulit untuk menggunakan promo pengguna baru, tidak bisa kembali ke halaman pembayaran ATM sehingga barang dibatalkan dahulu, lalu pesan ulang","3"
"87","Hanny CN","06-08-2019","kenapa abia updatw malah sering bgt eror appnya kaya tulisan gak asa sinyal, coba lagi nnti pdhl sblmnya baik baik aja huhuhu","4"
"88","Erwin Erwin","06-08-2019","gratis barang buat pengguna barunya. pas di klik selalu tulisnya "" habiss"" uninstall","1"
"89","Yuddy Rismana","06-08-2019","Shopee keren...","5"
"90","Michael Arjuna","06-08-2019","berandanya gamau ke load","1"
"91","Nancy Momoland","06-08-2019","No good","1"
"92","Diana R. Sutanto","06-08-2019","praktis sih buat cari barang2 online, dan sistem ratingnya cukup ngebantu buat nyari seller trusted. tapi begitu diupdate, app malah tambah lemot padahal sinyal lancar. 'updated enhanced performance'nya nggak kerasa bung.","3"
"93","Ardiansah Panca","06-08-2019","Masa no hp saya sudah di gunakan oleh orang lain, tolong di perbaiki, agar bisa verifikasi","1"
"94","tomen buhang","06-08-2019","input alamat susah minta ampun lewat app atau web dipersulit ajg","1"
"95","Ika Aprilyana","06-08-2019","mengecewakan, shopeepay ga bisa buat belanja.. konfirmasi gagal melulu. ditarik ke rekening bank pun lamaaaa verifikasi bank nya tertulis masih dalam proses (dah berminggu2 begitu saja). males jadinya","1"
"96","Muhammad Frengki","06-08-2019","Cannot open the app !","1"
"97","Meyfan Abesta","06-08-2019","aplikasi baguz & keren very good !","5"
